495499165983171,کد 12 رقمی نماد,IRO3ZF830001,کد 5 رقمی نماد,ZF831,نام لاتین شرکت,Const. Co.,کد 4 رقمی شرکت,ZF83,نام شرکت,گسترش فن‌آوري‌هاي صنعت ساختمان,نماد فارسی,صنعت ساختمان   ,نماد 30 رقمی فارسی,گسترش فن‌آوري‌هاي صنعت ساختمان,کد 12 رقمی شرکت,IRO3ZF830004,بازار,بازار سوم فرابورس,کد تابلو,5,کد گروه صنعت,74 ,گروه صنعت,خدمات فني و مهندسي,کد زیر گروه صنعت,7421,زیر گروه صنعت,فعاليتهاي ساختماني و مشاوره فني مرتبط
517453086671514,کد 12 رقمی نماد,IRR3MOBZ0101,کد 5 رقمی نماد,MOBX1,نام لاتین شرکت,Mobin One Kish-R,کد 4 رقمی شرکت,MOBZ,نام شرکت,مبين وان كيش,نماد فارسی,اوانح   ,نماد 30 رقمی فارسی,ح . مبين وان كيش,کد 12 رقمی شرکت,IRR3MOBZ0106,بازار,بازار دوم فرابورس,کد تابلو,3,کد گروه صنعت,73 ,گروه صنعت,اطلاعات و ارتباطات,کد زیر گروه صنعت,7310,زیر گروه صنعت,خدمات ارزش افزوده
590761101519570,کد 12 رقمی نماد,IRR1SIPA0101,کد 5 رقمی نماد,SIPX1,نام لاتین شرکت,Saipa-R,کد 4 رقمی شرکت,SIPA,نام شرکت,سايپا,نماد فارسی,خساپاح   ,نماد 30 رقمی فارسی,ح . سايپا,کد 12 رقمی شرکت,IRR1SIPA0103,بازار,بازار دوم بورس,کد تابلو,5,کد گروه صنعت,34 ,گروه صنعت,خودرو و ساخت قطعات,کد زیر گروه صنعت,3410,زیر گروه صنعت,توليد وسايل نقليه موتوري
611986653700161,کد 12 رقمی نماد,IRO3SBZZ0001,کد 5 رقمی نماد,SBZZ1,نام لاتین شرکت,Sabzevar Cement,کد 4 رقمی شرکت,SBZZ,نام شرکت,سيمان لار سبزوار,نماد فارسی,سبزوا   ,نماد 30 رقمی فارسی,سيمان لار سبزوار,کد 12 رقمی شرکت,IRO3SBZZ0005,بازار,بازار دوم فرابورس,کد تابلو,3,کد گروه صنعت,53 ,گروه صنعت,سيمان، آهك و گچ,کد زیر گروه صنعت,5394,زیر گروه صنعت,توليد سيمان، آهك و گچ
651564801186566,کد 12 رقمی نماد,IRO3ZF540001,کد 5 رقمی نماد,ZF541,نام لاتین شرکت,Novin Energy,کد 4 رقمی شرکت,ZF54,نام شرکت,پيمانكاري انرژي نوين,نماد فارسی,پيمانكاري نوين   ,نماد 30 رقمی فارسی,پيمانكاري انرژي نوين,کد 12 رقمی شرکت,IRO3ZF540009,بازار,بازار سوم فرابورس,کد تابلو,5,کد گروه صنعت,74 ,گروه صنعت,خدمات فني و مهندسي,کد زیر گروه صنعت,7490,زیر گروه صنعت,ساير فعاليتهاي حرفه اي علمي و فني
685553375979058,کد 12 رقمی نماد,IRB3SA0100B1,کد 5 رقمی نماد,SA1Q1,نام لاتین شرکت,ArvandOM.MNF220202,کد 4 رقمی شرکت,SA01,نام شرکت,منفعت صبا اروند اميد14001113,نماد فارسی,اروند01   ,نماد 30 رقمی فارسی,منفعت صبا اروند اميد14001113,کد 12 رقمی شرکت,IRB3SA0100B5,بازار,بازار ابزارهاي نوين مالي فرابورس,کد تابلو,4,کد گروه صنعت,69 ,گروه صنعت,اوراق تامين مالي,کد زیر گروه صنعت,6947,زیر گروه صنعت,اوراق منفعت خصوصي
778253364357513,کد 12 رقمی نماد,IRO1BMLT0001,کد 5 رقمی نماد,BMLT1,نام لاتین شرکت,S*Mellat Bank,کد 4 رقمی شرکت,BMLT,نام شرکت,بانك ملت,نماد فارسی,وبملت   ,نماد 30 رقمی فارسی,بانك ملت,کد 12 رقمی شرکت,IRO1BMLT0007,بازار,بازار اول (تابلوي اصلي) بورس,کد تابلو,1,کد گروه صنعت,57 ,گروه صنعت,بانكها و موسسات اعتباري,کد زیر گروه صنعت,5719,زیر گروه صنعت,ساير  واسطه هاي پولي
793710053482057,کد 12 رقمی نماد,IRO7PYAP0001,کد 5 رقمی نماد,PYAP1,نام لاتین شرکت,Payam Ind.,کد 4 رقمی شرکت,PYAP,نام شرکت,گسترش صنايع پيام,نماد فارسی,لپيام  - لغو پذیرش شده ,نماد 30 رقمی فارسی,گسترش صنايع پيام,کد 12 رقمی شرکت,IRO7PYAP0008,بازار,بازار پايه نارنجي فرابورس,کد تابلو,7,کد گروه صنعت,32 ,گروه صنعت,ساخت دستگاه‌ها و وسايل ارتباطي,کد زیر گروه صنعت,3230,زیر گروه صنعت,گيرنده راديو، تلويزيون و تجهيزات وابسته
796556604064374,کد 12 رقمی نماد,IRO3GSMZ0001,کد 5 رقمی نماد,GSMZ1,نام لاتین شرکت,Gheshm Marine,کد 4 رقمی شرکت,GSMZ,نام شرکت,دريايي و مهندسي كشتيراني قشم,نماد فارسی,حقشم   ,نماد 30 رقمی فارسی,دريايي و مهندسي كشتيراني قشم,کد 12 رقمی شرکت,IRO3GSMZ0005,بازار,بازار دوم فرابورس,کد تابلو,3,کد گروه صنعت,61 ,گروه صنعت,حمل و نقل آبي,کد زیر گروه صنعت,6120      ,زیر گروه صنعت,ساير فعاليت هاي پشتيباني و حمل و نقل
831325835570803,کد 12 رقمی نماد,IRO7CNAP0001,کد 5 رقمی نماد,CNAP1,نام لاتین شرکت,Namavaran Co.,کد 4 رقمی شرکت,CNAP,نام شرکت,س ساختماني ب نام آوران مهندسي,نماد فارسی,ثنام  - قانون احکام دائمی برنامه های توسعه کشور ,نماد 30 رقمی فارسی,س ساختماني ب نام آوران مهندسي,کد 12 رقمی شرکت,IRO7CNAP0006,بازار,بازار پايه زرد فرابورس,کد تابلو,7,کد گروه صنعت,70 ,گروه صنعت,انبوه سازي، املاك و مستغلات,کد زیر گروه صنعت,7010,زیر گروه صنعت,املاك و مستغلات با ملك خود يا ليزينگ شده
